script_0001 귀
script_0405 저멀리 보이는 개미집
script_0406 집이 가까워질수록
script_0407 빨라지는 개미들
script_0408 엄마가 해주시는
script_0409 콩자반 호박나물 멸치볶음
script_0410 내가 좋아하는 고기반찬
script_0411 밥상에 하나 없네
script_0412 엄마한테 고기반찬 투정부리니
script_0413 돌아오는 건 엄마의 잔소리
script_0414 골고루 먹어야 키가 큰단다
script_0415 그래도 먹고 싶어
script_0416 고기반찬
script_0417 두툼한 종이 뭉치 속에
script_0418 섞여 있는 그림과 글자들
script_0419 한장 한장 넘길 때마다
script_0420 조금씩 감겨오는 눈꺼풀
script_0421 잠이 온다 잠이 와
script_0422 꾸벅꾸벅 떨어지는 고개
script_0423 정신을 차려보려 하지만
script_0424 더는 넘어가지 않는 책장
script_0425 우리 누나는 나보다 한 살 많습니다
script_0426 한 살밖에 안 많으면서
script_0427 나한테 언제 크냐며 놀립니다
script_0428 키도 조금밖에 안크고
script_0429 덩치도 나랑 비슷하면서
script_0430 나한테는 어른인 것처럼 말합니다
script_0431 내가 음식을 조금만 흘려도
script_0432 익살스럽게 웃으며 놀려댑니다
script_0433 누나가 얄밉습니다
script_0434 누나가 너무 얄밉습니다
script_0435 선생님이 내 주신 학교 숙제
script_0436 여기서부터 여기까지 풀어오세요
script_0437 친구들과 신나게 놀다보니
script_0438 점점 어두워지는 밖
script_0439 아 맞다 숙제가 있었구나
script_0440 까맣게 잊고 있던 책을 펼처보니
script_0441 산더미 같은 숙제
script_0442 해도 해도 끝이 보이지 않네
script_0443 아 아까 놀지 말고 미리 할 걸
script_0444 후회해도 후회해도 소용없네
script_0445 너무 오래되어 빛이 바랜 앨범
script_0446 누렇게 변한 그 앨범에
script_0447 할아버지와 아빠가 있다
script_0448 아니 아저씨와 초등학생이 있다
script_0449 이때는 이렇게 지냈었지
script_0450 아 애들 귀여운 것좀 봐
script_0451 신이 나서 얘기하시는 아빠
script_0452 어른들에게도 어린 시절이 있었구나
script_0453 앨범 속 아빠 모습
script_0454 매일마다 나를 반겨주는
script_0455 내 옆자리 짝꿍
script_0456 선생님이 부르시면
script_0457 항상 개미만한 목소리로 대답하는
script_0458 부끄럼 많은 내 짝꿍
script_0459 내가 조금만 장난을 쳐도 삐지는
script_0460 소심한 내 옆자리 짝꿍
script_0461 그래도 내가 미술 준비물 안 가져왔을 때
script_0462 같이 쓰자며 붓을 내미는
script_0463 착한 내 옆자리 짝꿍
script_0464 마음이 중요한 것이에요
script_0465 무슨 일을 하더라도
script_0466 최선을 다해 열심히 하겠다는
script_0467 그 마음
script_0468 어떤 꾸지람을 듣더라도
script_0469 솔직하게 말할 수 있는
script_0470 자기 잘못을 인정하고
script_0471 반성할 줄 아는
script_0472 어젯밤 꾼 꿈에서는요
script_0473 아주 커다란 공룡이 나왔어요
script_0474 이빨도 뾰족뾰족 뿔도 뾰족뾰족
script_0475 아주 크고 무서운 공룡이었어요
script_0476 공룡이 성큼성큼 다가왔어요
script_0477 너무 무서워서 벌벌 떨었어요
script_0478 아니야 난 너와 친구가 되고 싶어
script_0479 공룡이 나를 태우고 힘껏 달렸어요
script_0480 너무 신나고 재밌었어요
script_0481 화단에 수줍게 피어있는
script_0482 나팔꽃 한 송이
script_0483 어디에서 날아와서
script_0484 혼자 피어 있는 걸까
script_0485 옆에 친구들도 없이
script_0486 혼자 피어 있는
script_0487 나팔꽃이 쓸쓸할까봐
script_0488 어느새 살랑살랑 날아온
script_0489 나비 한 마리
script_0490 외로운 나팔꽃의
script_0491 친구가 되어주는
script_0492 아름다운 나비 한 마리
script_0493 책상에 앉기만 하면
script_0494 왜 스르륵 잠이 올까
script_0495 앉은지 얼마 되지도 않았는데
script_0496 고개가 기울어진다
script_0497 왜 기운이 없어질까
script_0498 맛있는 밥 먹고 왔는데도
script_0499 힘이 없고 나른하다
script_0500 컴퓨터 책상에 앉으면
script_0501 눈도 똘망똘망
script_0502 신이 난다
script_0503 신기하다
script_0504 저는 초등학교 삼학년입니다
script_0505 열 살이나 되었지요
script_0506 매운 것도 잘 먹고요
script_0507 공부도 열심히 하고요
script_0508 친구들과도 사이좋게 놀아요
script_0509 이렇게 잘하는데
script_0510 어른이 되면 안될까요
script_0511 빨리 어른이 되고 싶어요
script_0512 어서 어서 어른이 되고 싶어요
script_0513 회사에서 돌아오신 우리 아빠
script_0514 어깨가 축 늘어져 있네
script_0515 다녀오셨어요 인사하면
script_0516 그래도 밝게 받아주시는 우리 아빠
script_0517 엄마의 잔소리를 들어가며
script_0518 된장찌개를 먹는 우리 아빠
script_0519 뒷 모습이 왠지 모르게 안쓰러운
script_0520 하나밖에 없는 우리 아빠
script_0521 커다랗고 네모난 버스
script_0522 삑 소리와 함께 버스에 타면
script_0523 버스 기사님이 반갑게 인사하시네
script_0524 버스 안에는 사람도 많다
script_0525 등산복을 입은 할머니와 할아버지
script_0526 배낭을 맨 형 누나들
script_0527 애기와 함께 탄 아주머니
script_0528 정장 입은 아저씨
script_0529 이 모든 사람들은
script_0530 어디로 가고 있는 걸까
script_0531 째깍째깍 소리내며
script_0532 하루종일 움직이는 시계
script_0533 매일매일 움직이면
script_0534 지칠 법도 한데
script_0535 쉼없이 움직이는
script_0536 부지런한 시계
script_0537 언제 멈추나
script_0538 뚫어져라 보고 있으면
script_0539 내 눈만 아프다
script_0540 신기한 우리 집 시계
script_0541 어제 밥상에 올라온 멸치볶음
script_0542 짭쪼름한 맛에 고소한 멸치볶음
script_0543 옆에 있는 화려한 반찬보다도
script_0544 은은하게 바다 냄새를 풍기는
script_0545 밥을 다 먹고 나도
script_0546 이에 꼭 하나씩 남아있는
script_0547 하늘에서 주룩주룩 비가 내리네
script_0548 점점 더 거세지는 빗방울
script_0549 이제는 후두둑 후두둑 비가 내리네
script_0550 아 맞다 우산 안 가져왔는데
script_0551 친구야 같이 쓰자 우산
script_0552 그 때 다가오는 옆집에 사는 영민이
script_0553 우산대 하나 꼭 잡고
script_0554 한 걸음 한 걸음
script_0555 자그마한 우산 아래
script_0556 걸어가는 아이들
script_0557 우산 바깥은 조금 젖어도
script_0558 같이 가는 아이들
script_0559 하늘을 순식간에 날아가는 비행기
script_0560 저 비행기는 무얼 먹고 자랐길래
script_0561 저렇게 빨리 지나갈까
script_0562 새보다도 더 빠르게
script_0563 기차보다도 더 빠르게
script_0564 하늘을 날아가는 비행기
script_0565 나도 비행기처럼
script_0566 하늘을 날아다니고 싶다
script_0567 이 세상 어디든지
script_0568 날아다니고 싶다
script_0569 내가 기르는 고슴도치는요
script_0570 삐쭉 삐쭉 가시는 많지만
script_0571 귀엽고 사랑스러운 애랍니다
script_0572 손으로 등을 만지면 따끔따끔
script_0573 선인장처럼 등에 난 가시
script_0574 그래도 배 쪽은 부드러워요
script_0575 먹이를 주면 쪼르륵 달려와
script_0576 배부르게 먹고 가는 고슴도치
script_0577 나는 우리 고슴도치가
script_0578 참 좋습니다
script_0579 달팽아 달팽아
script_0580 너는 왜 집을 지고 다니니
script_0581 집이 얼마나 무거운데
script_0582 너네 집을 지고 다니니
script_0583 집을 가지고 다니면
script_0584 얼마나 좋은데
script_0585 무서운 곤충들이 나타나면
script_0586 쏙 내 집 안에 숨으면 되는걸
script_0587 느릿느릿 달팽이
script_0588 너는 왜 이렇게 느리니
script_0589 세상 멋진 풍경 구경하느라
script_0590 느릿느릿 천천히 간단다
script_0591 두등실 달님이 떠오른다
script_0592 아침에는 어디로 갔는지
script_0593 찾아도 찾아도 안보이던 달님이
script_0594 수줍게 고개를 들이민다
script_0595 자기를 찾았냐는 듯이
script_0596 방금 전까지만 해도
script_0597 눈 앞에 어둠밖에 없던 것이
script_0598 조금씩 조금씩 밝아진다
script_0599 수줍어하던 달님이
script_0600 방긋 미소를 짓고 있다
script_0601 귀뚤귀뚤 귀뚜라미가
script_0602 조용하던 밤에
script_0603 노래를 부른다
script_0604 귀뚤귀뚤 귀뚤귀뚤
script_0605 달님이 숨죽여 노래를 듣는다
script_0606 옆집 살던 진수가
script_0607 서울로 이사를 간단다
script_0608 매일 같이 학교가고
script_0609 매일 같이 밥먹고
script_0610 매일 같이 놀던 진수가
script_0611 커다란 트럭이
script_0612 우리집 앞에 멈춰선다
script_0613 피아노도 냉장고도
script_0614 책상도 침대도
script_0615 물건들을 남김없이 가져간다
script_0616 천둥번개 치며
script_0617 비가 무척 많이 오던 날
script_0618 우산 같이 쓰고 온 추억
script_0619 아저씨들은 추억도 가져가려고 한다
script_0620 나는 작은 손으로
script_0621 진수와의 추억을 잡아당긴다
script_0622 추억을 내 마음으로 가져간다
script_0623 마트에서 파는 사과
script_0624 빨갛게 익은 사과
script_0625 붉은 빛이 돌면서
script_0626 맛있게 생긴 사과
script_0627 할머니가 사과나무에서 따주신
script_0628 불그스름한 사과
script_0629 벌레가 한입 깨물고 간 사과
script_0630 초록색과 주황색이 섞인 사과
script_0631 나는 마트에서 파는 사과보다
script_0632 할머니가 따주신
script_0633 벌레먹은 사과가 좋아요
script_0634 할머니가 손녀 주려고
script_0635 사과나무에서 두 팔 벌려 따신
script_0636 벌레 먹은 사과가 훨씬 좋아요
script_0637 개굴개굴 개굴개굴
script_0638 우리집 앞 커다란 호수에서
script_0639 청개구리 요란하게 노래불러요
script_0640 낮에는 뭐하다가
script_0641 깜깜한 밤이 되어야
script_0642 시끄럽게 노래부르니
script_0643 아들 손자 며느리 다 모아서
script_0644 각기 다른 목소리로
script_0645 청개구리 모두 모여 합창을 해요
script_0646 참나무에 붙어있던 매미들도
script_0647 청개구리 합창단에 끼어들어요
script_0648 어느 무더운 여름날
script_0649 함께 노래부르는
script_0650 매미와 청개구리들
script_0651 아무 것도 하지 않아도
script_0652 언제나 흐르고 있는 강물
script_0653 아무리 막아보려 해도
script_0654 멈추지 않고 흐르는 강물
script_0655 때로는 조심스럽게
script_0656 때로는 강인하게
script_0657 흐르는 속도는 다르지만
script_0658 저 푸르른 강물은
script_0659 산에서부터 흘러 흘러
script_0660 온갖 물고기들을 키워내고
script_0661 드넓은 바다로 향합니다
script_0662 좁디좁은 샘에서 시작해
script_0663 끝이 보이지 않는
script_0664 새파란 바다로 향합니다
script_0665 시험은 오월에 볼거야
script_0666 선생님이 시험 날짜를 알려주셨어요
script_0667 아직은 삼월이니
script_0668 시간이 많이 남았구나
script_0669 사월에는 동물원으로 소풍을 간대요
script_0670 친구들과 같이 김밥도 먹고
script_0671 신기한 동물도 구경하다 보니
script_0672 어느새 시험이 이틀 남았어요
script_0673 이를 어쩌지
script_0674 시험 공부 하나도 안 했는데
script_0675 책을 한장 펼쳐보니
script_0676 금새 졸음이 쏟아지네요
script_0677 정신을 차려보니
script_0678 선생님이 시험지를 나눠주셨어요
script_0679 검은 것은 글씨이고 하얀 것은 종이에요
script_0680 문제가 무슨 뜻인지도 모르겠어요
script_0681 선생님이 시험지를 채점해서 주셨어요
script_0682 시험지에 붉은색 비가 내려요
script_0683 이번 시험은 망쳤어요
script_0684 이번 시험도 또 망쳤어요
script_0685 윗집에서 치는 피아노 소리가
script_0686 우리집까지 들려온다
script_0687 젓가락 행진곡
script_0688 몇 마디 못 치고 틀린다
script_0689 내 실력을 보여주지
script_0690 피아노 앞에 앉았다
script_0691 운명 교향곡을 연주한다
script_0692 네 마디 치다가 못 치겠다
script_0693 일년 전에는 잘 쳤는데
script_0694 피아노 학원 다닐 때
script_0695 더 열심히 연습할 걸 그랬다
script_0696 기다리고 기다리던
script_0697 비가 옵니다
script_0698 하늘에 구멍 뚫린듯
script_0699 새벽부터 쉬지 않고 쏟아집니다
script_0700 앞집 선아네 아주머니도
script_0701 옆집 경수네 아저씨도
script_0702 집 앞에 나와 서서는
script_0703 우산도 안 쓰고
script_0704 비와 인사합니다
script_0705 한 방울도 귀하지요
script_0706 몇 달 동안 애태우던 비
script_0707 밭에 논에 도랑에 잘도 옵니다
script_0708 마을 사람 모두 모여
script_0709 밝은 얼굴로 비 얘기합니다
script_0710 다 똑같은 구름인데
script_0711 모양도 크기도 서로 다릅니다
script_0712 하늘 높이 흘러가는
script_0713 새하얀 뭉게구름
script_0714 얇디얇은 실이 뭉쳐
script_0715 솜사탕처럼 생긴 새털구름
script_0716 솔솔 부는 바람타고
script_0717 둥실둥실 떠가는 구름들
script_0718 햇님과도 인사하고
script_0719 하늘 보는 나랑도 인사하고
script_0720 뭐가 그리 바쁜지
script_0721 멀리 멀리 흘러가는 구름들
script_0722 너 방 청소해라
script_0723 스마트폰 그만 만져라
script_0724 밥 먹을 때는 조용히 해라
script_0725 끊이지 않는 엄마의 잔소리
script_0726 왜 공부를 안하니
script_0727 게임 끄고 공부해라
script_0728 그만 자고 일어나라
script_0729 계속되는 잔소리에
script_0730 짜증 섞인 내 목소리
script_0731 알았어요 엄마
script_0732 하면 되잖아요
script_0733 이러면 안 되는데
script_0734 엄마에게 소리 지르면 안 되는데
script_0735 엄마도 나 잘되라고
script_0736 하시는 걸텐데
script_0737 엄마 죄송해요
script_0738 엄마에게 사과를 하면
script_0739 괜찮다고 따뜻하게 안아주시는
script_0740 우리 엄마
script_0741 어느 화창한 가을날
script_0742 해는 저 높이 떠오르고
script_0743 가을 산은 빨갛게 노랗게
script_0744 예쁜 옷으로 꽃단장했네
script_0745 밤나무에는 주먹만한 밤이
script_0746 송이송이 열려 있네
script_0747 길 가던 다람쥐가
script_0748 냄새 맡고 군침을 삼키네
script_0749 울긋불긋 예쁘게 달려있던
script_0750 단풍잎 은행잎
script_0751 가을 바람에 하나 둘 떨어지네
script_0752 가을 세상을
script_0753 화사하게 비추고
script_0754 자기 몫을 다 했다는 듯이
script_0755 웃는 얼굴로 떨어지네
script_0756 이 더운 여름에
script_0757 민희는 감기에 걸렸어요
script_0758 민희가 그렇게 좋아하던
script_0759 달콤한 아이스크림도 못 먹고
script_0760 시원한 수박도 못 먹고
script_0761 끙끙 앓다가
script_0762 두꺼운 이불 속에서
script_0763 잠이 들었어요
script_0764 꿈에는 무서운 괴물이 나왔어요
script_0765 너무 무서워서 도망만 다니다가
script_0766 결국 괴물한테 붙잡혔어요
script_0767 식은 땀을 흘리던 민희는
script_0768 꿈에서 깨고 말았어요
script_0769 잠에서 깨고 보니
script_0770 감기가 말끔히 나았어요
script_0771 꿈에 나온 괴물이
script_0772 감기를 쫓아줬나봐요
script_0773 주르륵 흘러내리는 것은
script_0774 눈물도 아니고 땀도 아니다
script_0775 이 것은 다름 아닌 콧물이다
script_0776 감기에 걸린 것도 아닌데
script_0777 왜 갑자기 콧물이 나지
script_0778 생각을 하자마자
script_0779 입안에 매운 향이 감돈다
script_0780 매운 떡볶이 때문이다
script_0781 휴지를 뽑아서 코를 닦는다
script_0782 얼마 지나지 않아
script_0783 무언가 주르륵 흘러내린다
script_0784 아 또 콧물이다
script_0785 무더운 여름에도
script_0786 몸이 오들오들 떨리는 겨울에도
script_0787 항상 푸른 빛의 소나무
script_0788 소나무의 커다란 그늘 아래에서
script_0789 잠깐 땀을 식힐 때면
script_0790 이렇게 고마운 나무가 없다
script_0791 높은 산 좁은 바위 틈새에서
script_0792 굳세게 서 있는 소나무
script_0793 좁은 틈새에서 얼마나 힘들었을까
script_0794 고마운 마음에
script_0795 등을 한 번 두드려 주어도
script_0796 눈 하나 깜짝 않고
script_0797 그 자리를 지키는
script_0798 푸른 소나무
script_0799 동해 바닷가를 찾을 때면
script_0800 저 멀리부터 들리는
script_0801 철썩철썩
script_0802 시원한 파도소리
script_0803 파도소리에는
script_0804 온갖 동물들의
script_0805 움직임이 실려있다
script_0806 바닷가에 덩그러니 놓여있는
script_0807 소라껍데기 주워서
script_0808 귀에 갖다대면
script_0809 짭조름한 바다 향과 함께
script_0810 메아리치는 파도 소리
script_0811 집에서도 듣고 싶은
script_0812 들으면 들을수록
script_0813 더 듣고 싶은
script_0814 꼼지락 꼼지락
script_0815 발가락이 내 말을 듣지 않고
script_0816 자기 멋대로 움직인다
script_0817 가만히 있어봐
script_0818 마음속으로 소리친다
script_0819 발가락은 부끄러운 듯이
script_0820 살짝 고개를 숙인다
script_0821 내 짝 지민이가
script_0822 날 보며 웃을 때마다
script_0823 발가락이 내 말을 듣지 않는다
script_0824 내 마음이 그대로
script_0825 발가락한테 전해졌나보다
script_0826 엄마랑 있으면
script_0827 몸에 안 좋다고
script_0828 특별한 날에만 해 주시는
script_0829 맛있는 라면
script_0830 오늘은 엄마가 여행을 갔어요
script_0831 아빠가 배가 고프다며
script_0832 라면을 끓이셨어요
script_0833 파도 송송 썰어 넣고
script_0834 계란도 하나 풀어 넣으니
script_0835 맛있는 라면이 완성되었어요
script_0836 가끔씩만 먹을 수 있는
script_0837 꼬불꼬불 면발의
script_0838 어느 날
